Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[6753,6692,6450,4805,4897]	29597	2707
Apple	[20160601,20160602,20160603,20160604,20160605]	[2317,2244,2031,1406,1656]	9654	532
Christina_Applegate	[20160601,20160602,20160603,20160604,20160605]	[1324,1430,1283,1307,1455]	6799	1291
Shiri_Appleby	[20160601,20160602,20160603,20160604,20160605]	[998,1065,1214,1086,1596]	5959	1833
Pineapple	[20160601,20160602,20160603,20160604,20160605]	[1314,1290,1224,869,1062]	5759	551
Apple_TV	[20160601,20160602,20160603,20160604,20160605]	[945,888,882,849,910]	4474	808
Fiona_Apple	[20160601,20160602,20160603,20160604,20160605]	[953,826,777,571,772]	3899	341
Apple_Campus	[20160601,20160602,20160603,20160604,20160605]	[967,767,662,470,576]	3442	-26
Apple_Pay	[20160601,20160602,20160603,20160604,20160605]	[1007,832,682,354,394]	3269	-409
Pineapple_Express_(film)	[20160601,20160602,20160603,20160604,20160605]	[835,689,579,586,542]	3231	183
Apple_II	[20160601,20160602,20160603,20160604,20160605]	[622,629,532,465,820]	3068	566
History_of_Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[705,718,624,463,510]	3020	174
Apple_Watch	[20160601,20160602,20160603,20160604,20160605]	[720,642,683,450,447]	2942	218
Dr_Pepper_Snapple_Group	[20160601,20160602,20160603,20160604,20160605]	[1333,533,405,345,284]	2900	-832
Apple_I	[20160601,20160602,20160603,20160604,20160605]	[610,748,537,422,473]	2790	74
Robert_Mapplethorpe	[20160601,20160602,20160603,20160604,20160605]	[596,572,527,351,481]	2527	191
A.J._Applegate	[20160601,20160602,20160603,20160604,20160605]	[542,518,441,461,478]	2440	320
Marshall_Applewhite	[20160601,20160602,20160603,20160604,20160605]	[318,300,1026,269,282]	2195	959
Apple_cider_vinegar	[20160601,20160602,20160603,20160604,20160605]	[501,504,432,379,368]	2184	174
Apple_Lisa	[20160601,20160602,20160603,20160604,20160605]	[484,465,413,360,393]	2115	217
Johnny_Appleseed	[20160601,20160602,20160603,20160604,20160605]	[485,416,456,364,364]	2085	283
Apple_A9	[20160601,20160602,20160603,20160604,20160605]	[487,464,427,293,316]	1987	85
Apple_Computer	[20160601,20160602,20160603,20160604,20160605]	[210,196,233,1096,180]	1915	1103
Adam's_apple	[20160601,20160602,20160603,20160604,20160605]	[406,408,359,336,361]	1870	242
FBI–Apple_encryption_dispute	[20160601,20160602,20160603,20160604,20160605]	[455,419,308,248,285]	1715	-33
Apple_II_series	[20160601,20160602,20160603,20160604,20160605]	[357,361,380,307,296]	1701	265
Timeline_of_Apple_Inc._products	[20160601,20160602,20160603,20160604,20160605]	[400,430,383,215,271]	1699	39
Apple_Music	[20160601,20160602,20160603,20160604,20160605]	[360,333,335,301,307]	1636	250
Apple_pie	[20160601,20160602,20160603,20160604,20160605]	[384,359,369,226,259]	1597	111
Scrapple	[20160601,20160602,20160603,20160604,20160605]	[345,353,357,248,253]	1556	160
Apple_Store	[20160601,20160602,20160603,20160604,20160605]	[382,341,333,210,272]	1538	92
Java_applet	[20160601,20160602,20160603,20160604,20160605]	[379,384,324,195,241]	1523	-3
Big_Apple	[20160601,20160602,20160603,20160604,20160605]	[299,361,438,200,205]	1503	183
You_Are_the_Apple_of_My_Eye	[20160601,20160602,20160603,20160604,20160605]	[288,273,294,278,255]	1388	266
Apple_Lossless	[20160601,20160602,20160603,20160604,20160605]	[281,260,299,248,252]	1340	258
List_of_mergers_and_acquisitions_by_Apple	[20160601,20160602,20160603,20160604,20160605]	[334,312,273,184,236]	1339	47
Apple_Maps	[20160601,20160602,20160603,20160604,20160605]	[308,248,264,256,245]	1321	209
Apple_Worldwide_Developers_Conference	[20160601,20160602,20160603,20160604,20160605]	[281,305,257,223,196]	1262	90
Road_Apples_(album)	[20160601,20160602,20160603,20160604,20160605]	[256,268,345,207,184]	1260	212
Apple_Safari	[20160601,20160602,20160603,20160604,20160605]	[386,394,272,112,91]	1255	-305
Apple_ProRes	[20160601,20160602,20160603,20160604,20160605]	[295,344,278,162,144]	1223	-55
Appleton,_Wisconsin	[20160601,20160602,20160603,20160604,20160605]	[227,340,252,169,217]	1205	71
Apple_Keyboard	[20160601,20160602,20160603,20160604,20160605]	[277,230,283,196,208]	1194	180
Criticism_of_Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[200,163,574,116,141]	1194	468
Typography_of_Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[329,276,224,180,184]	1193	-17
Apple_Records	[20160601,20160602,20160603,20160604,20160605]	[229,275,244,214,227]	1189	181
Appleseed_(film)	[20160601,20160602,20160603,20160604,20160605]	[215,233,228,233,270]	1179	283
Apple_A8	[20160601,20160602,20160603,20160604,20160605]	[286,270,237,159,201]	1153	41
Apple_Cinema_Display	[20160601,20160602,20160603,20160604,20160605]	[224,320,241,173,178]	1136	48
Applebee's	[20160601,20160602,20160603,20160604,20160605]	[226,284,259,185,148]	1102	82
Sugar-apple	[20160601,20160602,20160603,20160604,20160605]	[250,224,222,184,183]	1063	115
Apple_Inc	[20160601,20160602,20160603,20160604,20160605]	[183,249,190,201,211]	1034	170
Apple_IIe	[20160601,20160602,20160603,20160604,20160605]	[213,227,210,168,208]	1026	146
Ryan_Hall_(grappler)	[20160601,20160602,20160603,20160604,20160605]	[178,214,168,164,292]	1016	232
Apple_electric_car_project	[20160601,20160602,20160603,20160604,20160605]	[184,265,257,160,147]	1013	115
Apple_cider	[20160601,20160602,20160603,20160604,20160605]	[235,195,230,145,200]	1005	145
Apple_Newton	[20160601,20160602,20160603,20160604,20160605]	[229,226,200,166,175]	996	86
Apple_A7	[20160601,20160602,20160603,20160604,20160605]	[251,227,223,145,143]	989	33
Nicole_Appleton	[20160601,20160602,20160603,20160604,20160605]	[219,222,204,170,152]	967	85
Snapple	[20160601,20160602,20160603,20160604,20160605]	[240,195,208,160,159]	962	92
Apple_III	[20160601,20160602,20160603,20160604,20160605]	[188,246,199,159,157]	949	81
Apple_Disk_Image	[20160601,20160602,20160603,20160604,20160605]	[213,228,183,137,175]	936	54
Apple_Inc._v._Samsung_Electronics_Co.	[20160601,20160602,20160603,20160604,20160605]	[237,217,194,116,163]	927	19
Custard_apple	[20160601,20160602,20160603,20160604,20160605]	[182,226,171,191,149]	919	103
Baki_the_Grappler	[20160601,20160602,20160603,20160604,20160605]	[185,180,194,179,176]	914	184
Apple_A9X	[20160601,20160602,20160603,20160604,20160605]	[207,208,200,137,161]	913	83
Apple_Thunderbolt_Display	[20160601,20160602,20160603,20160604,20160605]	[213,255,195,123,107]	893	-43
Apple_Corps	[20160601,20160602,20160603,20160604,20160605]	[174,163,191,184,181]	893	219
Natalie_Appleton	[20160601,20160602,20160603,20160604,20160605]	[182,198,193,158,141]	872	112
AppleScript	[20160601,20160602,20160603,20160604,20160605]	[215,217,193,112,133]	870	6
Appleby_Horse_Fair	[20160601,20160602,20160603,20160604,20160605]	[145,209,212,115,161]	842	134
Apples_to_Apples	[20160601,20160602,20160603,20160604,20160605]	[195,215,185,99,145]	839	19
List_of_apple_cultivars	[20160601,20160602,20160603,20160604,20160605]	[190,185,175,111,176]	837	87
Apples_and_oranges	[20160601,20160602,20160603,20160604,20160605]	[212,196,190,111,116]	825	9
Applejack_(beverage)	[20160601,20160602,20160603,20160604,20160605]	[171,163,183,143,148]	808	140
Apple_Push_Notification_Service	[20160601,20160602,20160603,20160604,20160605]	[221,214,174,94,88]	791	-79
Apple_mobile_application_processors	[20160601,20160602,20160603,20160604,20160605]	[248,179,126,108,108]	769	-85
Apple's_transition_to_Intel_processors	[20160601,20160602,20160603,20160604,20160605]	[203,181,157,115,111]	767	-1
Appleseed_Alpha	[20160601,20160602,20160603,20160604,20160605]	[170,120,138,175,161]	764	184
Keychain_(Apple)	[20160601,20160602,20160603,20160604,20160605]	[162,178,179,92,128]	739	59
Apple_ID	[20160601,20160602,20160603,20160604,20160605]	[179,156,143,115,134]	727	57
Hale_Appleman	[20160601,20160602,20160603,20160604,20160605]	[134,155,144,146,144]	723	145
Golden_apple	[20160601,20160602,20160603,20160604,20160605]	[178,167,122,115,129]	711	21
Apple_Macintosh	[20160601,20160602,20160603,20160604,20160605]	[147,144,149,110,128]	678	96
Apple_Bandai_Pippin	[20160601,20160602,20160603,20160604,20160605]	[156,149,134,102,133]	674	64
AppleTalk	[20160601,20160602,20160603,20160604,20160605]	[163,161,143,91,109]	667	19
List_of_products_discontinued_by_Apple_Inc.	[20160601,20160602,20160603,20160604,20160605]	[176,142,120,102,121]	661	25
Apple_A5	[20160601,20160602,20160603,20160604,20160605]	[159,160,142,95,101]	657	19
Apple_of_Discord	[20160601,20160602,20160603,20160604,20160605]	[175,155,128,94,99]	651	-9
Apple_of_my_eye	[20160601,20160602,20160603,20160604,20160605]	[162,148,140,89,95]	634	14
Marcelo_Garcia_(grappler)	[20160601,20160602,20160603,20160604,20160605]	[141,142,114,108,121]	626	60
Apple_butter	[20160601,20160602,20160603,20160604,20160605]	[200,166,124,73,57]	620	-112
Appleseed_(manga)	[20160601,20160602,20160603,20160604,20160605]	[134,121,118,129,111]	613	103
Gala_(apple)	[20160601,20160602,20160603,20160604,20160605]	[151,144,111,91,109]	606	16
